idcar_200m,idcar_1km,idcar_nat,i_est_200,i_est_1km,lcog_geo,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc
CRS3035RES200mN2529400E3921400,CRS3035RES1000mN2529000E3921000,CRS3035RES200mN2529400E3921400,0,0,69383,1092,602,79,322,17,280,40,32088597.3,38799,598,4,175,10,88,329,0,5,73,22,48.5,48,93,408,211.5,77,81,30,0
CRS3035RES200mN2529400E3921600,CRS3035RES1000mN2529000E3921000,CRS3035RES200mN2529400E3921600,0,0,69383,738,366,46,166,12,176,35,21173664.6,26560,363,3,100,102,70,94,0,11,45,15.5,39.5,59,65,201,164,52,63,34,0
CRS3035RES200mN2529400E3921800,CRS3035RES1000mN2529000E3921000,CRS3035RES200mN2529400E3921800,0,0,69383,1173.5,520,84,226,43,116,82,27154379.2,35998,503,17,92,38,31,359,0,242,60,37.5,102,115,114,283,258,112,68,24,0
CRS3035RES200mN2529400E3922000,CRS3035RES1000mN2529000E3922000,CRS3035RES200mN2529400E3922000,0,0,"69383,69266",644.5,342,56,174,15,181,31,18604220.6,24157,312,30,145,72,61,64,0,25,25,15.5,40,36,53,191,118,68,56,39,3
CRS3035RES200mN2529400E3922200,CRS3035RES1000mN2529000E3922000,CRS3035RES200mN2529400E3922200,0,0,"69383,69266",656.5,292,67,132,29,74,43,14340873.9,20492,277,15,81,18,35,158,0,126,33.5,20,50,89.5,42.5,141,143,73,51,13,0
CRS3035RES200mN2529400E3922400,CRS3035RES1000mN2529000E3922000,CRS3035RES200mN2529400E3922400,0,0,"69266,69383",873.5,441,64,203,19,193,52,22244815.7,29703,426,15,60,82,123,176,0,68,26,19,52.5,76.5,73.5,200,185,95,98,48,0
CRS3035RES200mN2529400E3922600,CRS3035RES1000mN2529000E3922000,CRS3035RES200mN2529400E3922600,0,0,"69266,69383",1442,719,115,337,27,223,89,37104049,43500,714,5,54,0,59,606,0,110,95,42,100,97,141,521,257,103,72,14,0
CRS3035RES200mN2529400E3922800,CRS3035RES1000mN2529000E3922000,CRS3035RES200mN2529400E3922800,0,0,"69266,69383",815,391,44,183,26,154,37,21969935.9,26567,384,7,37,0,35,319,0,58,54.5,30.5,48.5,59,72.5,241,159,69,59,22,0
CRS3035RES200mN2529600E3914000,CRS3035RES1000mN2529000E3914000,CRS3035RES1000mN2529000E3914000,0,0,"69385,69244,69089",253,124,19,56,5,48,14,6662837.9,8693,123,1,1,2,0,121,0,44,10,3,18,21,17,35,69,44,32,4,0
CRS3035RES200mN2529600E3914200,CRS3035RES1000mN2529000E3914000,CRS3035RES1000mN2529000E3914000,0,0,69385,361.5,158,15,51,10,98,14,11658717.5,14182,151,7,0,0,90,68,0,34,12,7,17,35.5,30,53,80,50,63,14,0
CRS3035RES200mN2529600E3914400,CRS3035RES1000mN2529000E3914000,CRS3035RES1000mN2529000E3914000,0,0,69385,18,12,1,6,0,10,3,834494.1,1170,10,2,0,0,12,0,0,0,0,0,1.5,0.5,0,2,3,4,4,3,0
CRS3035RES200mN2529600E3914600,CRS3035RES1000mN2529000E3914000,CRS3035RES1000mN2529000E3914000,1,0,69385,8,3.2,0.2,1.5,0.5,1.5,0,289870.6,343.3,1.5,1.7,0.7,0.3,0.3,1.9,0,0,0,0.2,1,1,1,0.7,2.9,0.5,0.5,0.2,0
CRS3035RES200mN2529600E3914800,CRS3035RES1000mN2529000E3914000,CRS3035RES1000mN2529000E3914000,0,0,69385,344.5,184,14,90,4,103,17,9817311.8,13814,176,8,5,1,122,56,0,0,9,6.5,17,29,23,59,71,49,60,21,0
CRS3035RES200mN2529600E3915000,CRS3035RES1000mN2529000E3915000,CRS3035RES1000mN2529000E3915000,0,0,69385,169.5,76,4,28,3,28,10,5694943,7031,57,19,3,5,0,68,0,27,5,3,11,18.5,18,19,49,23,20,3,0
CRS3035RES200mN2529600E3915200,CRS3035RES1000mN2529000E3915000,CRS3035RES1000mN2529000E3915000,0,0,69385,523.5,220,43,76,24,37,49,11053563.5,15690,207,13,5,170,25,20,0,168,23,14,27,66.5,44,90,98,66,72,23,0
CRS3035RES200mN2529600E3915400,CRS3035RES1000mN2529000E3915000,CRS3035RES1000mN2529000E3915000,0,0,69385,127.5,58,15,23,5,0,12,2547957.6,3926,58,0,0,58,0,0,0,50,6.5,0,10,8,15,21,25,22,15,5,0
CRS3035RES200mN2529600E3915600,CRS3035RES1000mN2529000E3915000,CRS3035RES1000mN2529000E3915000,1,0,69385,50.5,19,0.8,4.6,2.3,15.9,0,2211984.4,3139.4,1.5,17.5,3.8,4.6,1.5,9.1,0,0,0.8,0,3,8,3.1,5.3,10.6,5.3,14.4,0,0
